league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
ITA-Serie A,2007,Parma,Nicola Pavarini,ITA,GK,33,1974,9,8,752,8.4,10,1.20,43,33,76.7,2,3,4,2,25.0,,,,,,2008
ITA-Serie A,2007,Reggina,Andrea Campagnolo,ITA,GK,29,1978,35,35,3150,35.0,51,1.46,176,125,71.0,8,12,15,7,20.0,,,,,,2008
ITA-Serie A,2007,Reggina,Nenad Novaković,SRB,GK,25,1982,3,3,270,3.0,3,1.00,11,8,72.7,1,1,1,1,33.3,,,,,,2008
ITA-Serie A,2007,Roma,Doni,BRA,GK,27,1979,37,37,3287,36.5,33,0.90,115,82,71.3,23,9,4,16,43.2,,,,,,2008
ITA-Serie A,2007,Roma,Gianluca Curci,ITA,GK,22,1985,2,1,133,1.5,4,2.71,11,7,63.6,1,1,0,0,0.0,,,,,,2008
ITA-Serie A,2007,Sampdoria,Antonio Mirante,ITA,GK,24,1983,13,12,1104,12.3,20,1.63,54,34,63.0,5,4,5,6,50.0,,,,,,2008
ITA-Serie A,2007,Sampdoria,Luca Castellazzi,ITA,GK,32,1975,26,26,2294,25.5,26,1.02,105,79,75.2,12,5,7,10,38.5,,,,,,2008
ITA-Serie A,2007,Sampdoria,Vincenzo Fiorillo,ITA,GK,17,1990,1,0,22,0.2,0,0.00,1,1,100.0,0,0,0,0,,,,,,,2008
ITA-Serie A,2007,Siena,Alex Manninger,AUT,GK,30,1977,26,26,2340,26.0,28,1.08,113,85,75.2,8,10,8,10,38.5,,,,,,2008
ITA-Serie A,2007,Siena,Dimitrios Eleftheropoulos,GRE,GK,30,1976,12,12,1060,11.8,17,1.44,46,29,63.0,1,7,4,2,16.7,,,,,,2008
ITA-Serie A,2007,Torino,Alberto Fontana,ITA,GK,32,1974,8,6,611,6.8,12,1.77,41,29,70.7,1,1,4,0,0.0,,,,,,2008
ITA-Serie A,2007,Torino,Matteo Sereni,ITA,GK,32,1975,32,32,2809,31.2,37,1.19,155,118,76.1,7,15,10,10,31.3,,,,,,2008
ITA-Serie A,2007,Udinese,Antonio Chimenti,ITA,GK,37,1970,3,3,270,3.0,8,2.67,17,9,52.9,0,2,2,1,33.3,,,,,,2008
ITA-Serie A,2007,Udinese,Samir Handanović,SVN,GK,23,1984,35,35,3150,35.0,45,1.29,168,123,73.2,16,8,11,12,34.3,,,,,,2008
ITA-Serie A,2008,Atalanta,Andrea Consigli,ITA,GK,21,1987,17,17,1485,16.5,21,1.27,66,45,68.2,5,5,6,6,35.3,,,,,,2009
ITA-Serie A,2008,Atalanta,Ferdinando Coppola,ITA,GK,30,1978,22,21,1935,21.5,27,1.26,78,51,65.4,8,3,11,6,28.6,,,,,,2009
ITA-Serie A,2008,Bologna,Francesco Antonioli,ITA,GK,38,1969,35,35,3150,35.0,56,1.60,222,166,74.8,8,10,17,4,11.4,,,,,,2009
ITA-Serie A,2008,Bologna,Roberto Colombo,ITA,GK,32,1975,3,3,270,3.0,6,2.00,17,11,64.7,1,0,2,1,33.3,,,,,,2009
ITA-Serie A,2008,Cagliari,Cristiano Lupatelli,ITA,GK,30,1978,3,3,270,3.0,9,3.00,25,16,64.0,1,1,1,1,33.3,,,,,,2009
ITA-Serie A,2008,Cagliari,Federico Marchetti,ITA,GK,25,1983,35,35,3150,35.0,41,1.17,174,133,76.4,14,7,14,12,34.3,,,,,,2009
ITA-Serie A,2008,Catania,Albano Bizzarri,ARG,GK,30,1977,32,32,2880,32.0,37,1.16,188,151,80.3,11,7,14,8,25.0,,,,,,2009
ITA-Serie A,2008,Catania,Paolo Acerbis,ITA,GK,27,1981,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,,,,,,2009
ITA-Serie A,2008,Catania,Tomáš Košický,SVK,GK,22,1986,5,5,450,5.0,11,2.20,28,17,60.7,1,0,4,0,0.0,,,,,,2009
ITA-Serie A,2008,Chievo,Gabriele Aldegani,ITA,GK,32,1976,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,,,,,,2009
ITA-Serie A,2008,Chievo,Lorenzo Squizzi,ITA,GK,34,1974,5,5,450,5.0,6,1.20,18,12,66.7,2,1,2,1,20.0,,,,,,2009
ITA-Serie A,2008,Chievo,Stefano Sorrentino,ITA,GK,29,1979,32,32,2880,32.0,40,1.25,141,101,71.6,6,13,13,7,21.9,,,,,,2009
ITA-Serie A,2008,Fiorentina,Marco Storari,ITA,GK,31,1977,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,,,,,,2009
ITA-Serie A,2008,Fiorentina,Sébastien Frey,FRA,GK,28,1980,37,37,3330,37.0,37,1.00,159,122,76.7,21,5,11,12,32.4,,,,,,2009
ITA-Serie A,2008,Genoa,Alessio Scarpi,ITA,GK,35,1973,2,1,119,1.3,2,1.51,12,10,83.3,1,0,0,0,0.0,,,,,,2009
ITA-Serie A,2008,Genoa,Rubinho,BRA,GK,25,1982,37,37,3301,36.7,37,1.01,137,100,73.0,18,11,8,14,37.8,,,,,,2009
ITA-Serie A,2008,Inter,Francesco Toldo,ITA,GK,36,1971,3,2,198,2.2,4,1.82,12,8,66.7,1,1,1,0,0.0,,,,,,2009
ITA-Serie A,2008,Inter,Júlio César,BRA,GK,28,1979,36,36,3208,35.6,28,0.79,157,129,82.2,24,8,3,17,47.2,,,,,,2009
ITA-Serie A,2008,Inter,Paolo Orlandoni,ITA,GK,35,1972,1,0,14,0.2,0,0.00,1,1,100.0,0,0,0,0,,,,,,,2009
ITA-Serie A,2008,Juventus,Alex Manninger,AUT,GK,31,1977,16,15,1395,15.5,11,0.71,44,33,75.0,10,3,2,6,40.0,,,,,,2009
ITA-Serie A,2008,Juventus,Gianluigi Buffon,ITA,GK,30,1978,23,23,2025,22.5,26,1.16,92,66,71.7,11,8,4,8,34.8,,,,,,2009
ITA-Serie A,2008,Lazio,Fernando Muslera,URU,GK,22,1986,15,15,1350,15.0,22,1.47,65,43,66.2,5,1,9,4,26.7,,,,,,2009
ITA-Serie A,2008,Lazio,Juan Pablo Carrizo,ARG,GK,24,1984,23,23,2070,23.0,33,1.43,81,48,59.3,10,4,9,6,26.1,,,,,,2009
ITA-Serie A,2008,Lecce,Antonio Rosati,ITA,GK,25,1983,4,4,360,4.0,10,2.50,24,14,58.3,0,2,2,1,25.0,,,,,,2009
ITA-Serie A,2008,Lecce,Francesco Benussi,ITA,GK,26,1981,34,34,3060,34.0,58,1.71,155,97,62.6,5,13,16,4,11.8,,,,,,2009
ITA-Serie A,2008,Milan,Christian Abbiati,ITA,GK,31,1977,28,28,2441,27.1,27,1.00,134,107,79.9,15,6,6,11,39.3,,,,,,2009
ITA-Serie A,2008,Milan,Dida,BRA,GK,34,1973,10,9,889,9.9,7,0.71,42,35,83.3,7,1,2,6,66.7,,,,,,2009
ITA-Serie A,2008,Milan,Zeljko Kalac,AUS,GK,35,1972,1,1,90,1.0,1,1.00,6,5,83.3,0,1,0,0,0.0,,,,,,2009
ITA-Serie A,2008,Napoli,Gennaro Iezzo,ITA,GK,35,1973,15,15,1325,14.7,13,0.88,56,43,76.8,7,3,4,5,33.3,,,,,,2009
ITA-Serie A,2008,Napoli,Luca Bucci,ITA,GK,39,1969,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,,,,,,2009
ITA-Serie A,2008,Napoli,Luigi Sepe,ITA,GK,17,1991,1,0,59,0.7,2,3.05,3,1,33.3,0,0,1,0,,,,,,,2009
ITA-Serie A,2008,Napoli,Matteo Gianello,ITA,GK,32,1976,5,4,346,3.8,8,2.08,20,12,60.0,1,0,3,1,25.0,,,,,,2009
ITA-Serie A,2008,Napoli,Nicolás Navarro,ARG,GK,23,1985,19,18,1600,17.8,20,1.13,73,53,72.6,4,7,7,6,33.3,,,,,,2009
ITA-Serie A,2008,Palermo,Alberto Fontana,ITA,GK,41,1967,5,4,405,4.5,5,1.11,18,13,72.2,1,1,2,1,25.0,,,,,,2009
ITA-Serie A,2008,Palermo,Marco Amelia,ITA,GK,26,1982,34,34,2988,33.2,45,1.36,154,109,70.8,16,5,13,7,20.6,,,,,,2009
ITA-Serie A,2008,Palermo,Samir Ujkani,KVX,GK,20,1988,1,0,27,0.3,0,0.00,2,2,100.0,0,0,0,0,,,,,,,2009
ITA-Serie A,2008,Reggina,Andrea Campagnolo,ITA,GK,30,1978,23,23,1961,21.8,41,1.88,105,64,61.0,2,7,12,2,8.7,,,,,,2009
ITA-Serie A,2008,Reggina,Christian Puggioni,ITA,GK,27,1981,16,14,1369,15.2,20,1.31,83,63,75.9,4,5,8,4,28.6,,,,,,2009
ITA-Serie A,2008,Reggina,Pietro Marino,ITA,GK,21,1986,1,1,90,1.0,1,1.00,8,7,87.5,0,1,0,0,0.0,,,,,,2009
ITA-Serie A,2008,Roma,Artur Moraes,BRA,GK,27,1981,11,9,921,10.2,18,1.76,48,30,62.5,7,2,1,3,33.3,,,,,,2009
ITA-Serie A,2008,Roma,Doni,BRA,GK,28,1979,29,29,2499,27.8,43,1.55,128,85,66.4,11,7,10,9,31.0,,,,,,2009
ITA-Serie A,2008,Sampdoria,Antonio Mirante,ITA,GK,25,1983,9,9,810,9.0,12,1.33,38,26,68.4,1,5,3,3,33.3,,,,,,2009
ITA-Serie A,2008,Sampdoria,Luca Castellazzi,ITA,GK,33,1975,27,27,2430,27.0,36,1.33,116,80,69.0,10,6,11,5,18.5,,,,,,2009
ITA-Serie A,2008,Sampdoria,Vincenzo Fiorillo,ITA,GK,18,1990,2,2,180,2.0,4,2.00,15,11,73.3,0,2,0,0,0.0,,,,,,2009
ITA-Serie A,2008,Siena,Dimitrios Eleftheropoulos,GRE,GK,31,1976,2,1,145,1.6,2,1.24,4,2,50.0,0,0,1,0,0.0,,,,,,2009
ITA-Serie A,2008,Siena,Emanuele Manitta,ITA,GK,31,1977,6,5,463,5.1,6,1.17,21,15,71.4,1,1,3,1,20.0,,,,,,2009
ITA-Serie A,2008,Siena,Gianluca Curci,ITA,GK,23,1985,32,32,2812,31.2,36,1.15,123,87,70.7,11,7,14,11,34.4,,,,,,2009
ITA-Serie A,2008,Torino,Alex Calderoni,ITA,GK,32,1976,7,7,630,7.0,7,1.00,26,19,73.1,2,1,4,1,14.3,,,,,,2009
ITA-Serie A,2008,Torino,Matteo Sereni,ITA,GK,33,1975,31,31,2782,30.9,54,1.75,158,104,65.8,6,9,16,6,19.4,,,,,,2009
ITA-Serie A,2008,Udinese,Emanuele Belardi,ITA,GK,30,1977,4,4,360,4.0,3,0.75,15,12,80.0,1,1,2,1,25.0,,,,,,2009
ITA-Serie A,2008,Udinese,Jan Koprivec,SVN,GK,20,1988,1,0,85,0.9,2,2.12,5,3,60.0,0,0,1,0,,,,,,,2009
ITA-Serie A,2008,Udinese,Samir Handanović,SVN,GK,24,1984,34,34,2975,33.1,45,1.36,155,110,71.0,15,9,9,7,20.6,,,,,,2009
ITA-Serie A,2009,Atalanta,Andrea Consigli,ITA,GK,22,1987,31,31,2746,30.5,41,1.34,125,84,67.2,7,6,17,7,22.6,,,,,,2010
ITA-Serie A,2009,Atalanta,Ferdinando Coppola,ITA,GK,31,1978,8,7,674,7.5,12,1.60,33,21,63.6,2,2,4,1,14.3,,,,,,2010
ITA-Serie A,2009,Bari,Daniele Padelli,ITA,GK,23,1985,1,1,90,1.0,3,3.00,6,3,50.0,0,1,0,0,0.0,,,,,,2010
ITA-Serie A,2009,Bari,Jean-François Gillet,BEL,GK,30,1979,37,37,3330,37.0,46,1.24,185,139,75.1,13,10,14,11,29.7,,,,,,2010
ITA-Serie A,2009,Bologna,Emiliano Viviano,ITA,GK,23,1985,34,34,3060,34.0,52,1.53,188,136,72.3,9,9,16,4,11.8,,,,,,2010
ITA-Serie A,2009,Bologna,Roberto Colombo,ITA,GK,33,1975,4,4,360,4.0,3,0.75,11,8,72.7,1,3,0,1,25.0,,,,,,2010
ITA-Serie A,2009,Cagliari,Cristiano Lupatelli,ITA,GK,31,1978,2,1,135,1.5,4,2.67,13,9,69.2,0,0,2,0,0.0,,,,,,2010
ITA-Serie A,2009,Cagliari,Federico Marchetti,ITA,GK,26,1983,33,33,2855,31.7,48,1.51,165,117,70.9,9,9,13,10,30.3,,,,,,2010
ITA-Serie A,2009,Cagliari,Mauro Vigorito,ITA,GK,19,1990,2,1,160,1.8,2,1.13,8,6,75.0,0,2,0,0,0.0,,,,,,2010
ITA-Serie A,2009,Cagliari,Michael Agazzi,ITA,GK,25,1984,3,3,270,3.0,4,1.33,14,10,71.4,2,0,1,1,33.3,,,,,,2010
ITA-Serie A,2009,Catania,Andrea Campagnolo,ITA,GK,31,1978,3,3,270,3.0,3,1.00,9,6,66.7,2,0,1,1,33.3,,,,,,2010
ITA-Serie A,2009,Catania,Mariano Andújar,ARG,GK,26,1983,35,35,3115,34.6,40,1.16,157,117,74.5,8,15,12,10,28.6,,,,,,2010
ITA-Serie A,2009,Catania,Tomáš Košický,SVK,GK,23,1986,1,0,35,0.4,1,2.57,4,3,75.0,0,0,0,0,,,,,,,2010
ITA-Serie A,2009,Chievo,Lorenzo Squizzi,ITA,GK,35,1974,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,,,,,,2010
ITA-Serie A,2009,Chievo,Stefano Sorrentino,ITA,GK,30,1979,37,37,3330,37.0,40,1.08,156,116,74.4,12,8,17,10,27.0,,,,,,2010
ITA-Serie A,2009,Fiorentina,Sébastien Frey,FRA,GK,29,1980,36,36,3240,36.0,43,1.19,158,115,72.8,13,8,15,8,22.2,,,,,,2010
ITA-Serie A,2009,Fiorentina,Vlada Avramov,SRB,GK,30,1979,2,2,180,2.0,4,2.00,13,9,69.2,0,0,2,0,0.0,,,,,,2010
ITA-Serie A,2009,Genoa,Alessio Scarpi,ITA,GK,36,1973,8,8,720,8.0,13,1.62,37,24,64.9,2,2,4,1,12.5,,,,,,2010
ITA-Serie A,2009,Genoa,Marco Amelia,ITA,GK,27,1982,30,30,2700,30.0,48,1.60,144,96,66.7,12,7,11,10,33.3,,,,,,2010
ITA-Serie A,2009,Inter,Júlio César,BRA,GK,29,1979,38,38,3420,38.0,34,0.89,145,111,76.6,24,10,4,17,44.7,,,,,,2010
ITA-Serie A,2009,Juventus,Alex Manninger,AUT,GK,32,1977,11,9,862,9.6,18,1.88,45,27,60.0,3,1,6,0,0.0,,,,,,2010
ITA-Serie A,2009,Juventus,Antonio Chimenti,ITA,GK,39,1970,2,2,180,2.0,4,2.00,13,9,69.2,0,1,1,0,0.0,,,,,,2010
ITA-Serie A,2009,Juventus,Gianluigi Buffon,ITA,GK,31,1978,27,27,2378,26.4,34,1.29,102,68,66.7,13,5,8,7,25.9,,,,,,2010
ITA-Serie A,2009,Lazio,Fernando Muslera,URU,GK,23,1986,36,36,3240,36.0,41,1.14,151,110,72.8,10,12,14,8,22.2,,,,,,2010
ITA-Serie A,2009,Lazio,Tommaso Berni,ITA,GK,26,1983,2,2,180,2.0,2,1.00,9,7,77.8,1,1,0,0,0.0,,,,,,2010
ITA-Serie A,2009,Livorno,Alfonso De Lucia,ITA,GK,25,1983,23,22,1994,22.2,33,1.49,100,67,67.0,6,3,13,5,22.7,,,,,,2010
ITA-Serie A,2009,Livorno,Francesco Bardi,ITA,GK,17,1992,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,,,,,,2010
ITA-Serie A,2009,Livorno,Francesco Benussi,ITA,GK,27,1981,5,4,386,4.3,4,0.93,14,10,71.4,1,1,2,1,25.0,,,,,,2010
ITA-Serie A,2009,Livorno,Rubinho,BRA,GK,26,1982,11,11,948,10.5,20,1.90,52,32,61.5,0,4,7,0,0.0,,,,,,2010
ITA-Serie A,2009,Milan,Christian Abbiati,ITA,GK,32,1977,9,8,724,8.0,5,0.62,36,31,86.1,4,3,1,3,37.5,,,,,,2010
ITA-Serie A,2009,Milan,Dida,BRA,GK,35,1973,23,23,2066,23.0,27,1.18,116,89,76.7,14,4,5,8,34.8,,,,,,2010
ITA-Serie A,2009,Milan,Marco Storari,ITA,GK,32,1977,7,7,630,7.0,7,1.00,30,23,76.7,2,3,2,3,42.9,,,,,,2010
ITA-Serie A,2009,Napoli,Morgan De Sanctis,ITA,GK,32,1977,38,38,3420,38.0,42,1.11,158,116,73.4,15,14,9,15,39.5,,,,,,2010
ITA-Serie A,2009,Palermo,Rubinho,BRA,GK,26,1982,6,6,540,6.0,8,1.33,28,20,71.4,2,2,2,0,0.0,,,,,,2010
ITA-Serie A,2009,Palermo,Salvatore Sirigu,ITA,GK,22,1987,32,32,2880,32.0,39,1.22,148,109,73.6,16,9,7,10,31.3,,,,,,2010
ITA-Serie A,2009,Parma,Antonio Mirante,ITA,GK,26,1983,37,37,3283,36.5,49,1.34,166,117,70.5,13,9,14,9,24.3,,,,,,2010
ITA-Serie A,2009,Parma,Nicola Pavarini,ITA,GK,35,1974,2,1,137,1.5,2,1.31,10,8,80.0,1,1,0,0,0.0,,,,,,2010
ITA-Serie A,2009,Roma,Artur Moraes,BRA,GK,28,1981,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,,,,,,2010
ITA-Serie A,2009,Roma,Bogdan Lobonț,ROU,GK,31,1978,2,0,147,1.6,1,0.61,4,3,75.0,1,0,0,1,,,,,,,2010
ITA-Serie A,2009,Roma,Doni,BRA,GK,29,1979,7,7,552,6.1,8,1.30,20,12,60.0,3,1,3,1,14.3,,,,,,2010
ITA-Serie A,2009,Roma,Júlio Sérgio,BRA,GK,30,1978,30,30,2631,29.2,29,0.99,115,86,74.8,20,7,2,9,30.0,,,,,,2010
ITA-Serie A,2009,Sampdoria,Luca Castellazzi,ITA,GK,34,1975,19,19,1669,18.5,26,1.40,92,66,71.7,7,5,6,4,21.1,,,,,,2010
ITA-Serie A,2009,Sampdoria,Marco Storari,ITA,GK,32,1977,19,19,1710,19.0,14,0.74,63,49,77.8,12,5,2,7,36.8,,,,,,2010
ITA-Serie A,2009,Sampdoria,Vincenzo Fiorillo,ITA,GK,19,1990,1,0,41,0.5,1,2.20,3,2,66.7,0,0,1,0,,,,,,,2010
ITA-Serie A,2009,Siena,Gianluca Curci,ITA,GK,24,1985,36,36,3115,34.6,62,1.79,181,119,65.7,7,9,18,6,16.7,,,,,,2010
ITA-Serie A,2009,Siena,Gianluca Pegolo,ITA,GK,28,1981,4,2,305,3.4,5,1.48,17,12,70.6,0,1,2,0,0.0,,,,,,2010
ITA-Serie A,2009,Udinese,Rafael Romo,VEN,GK,19,1990,1,1,90,1.0,3,3.00,9,6,66.7,0,0,1,0,0.0,,,,,,2010
ITA-Serie A,2009,Udinese,Samir Handanović,SVN,GK,25,1984,37,37,3330,37.0,56,1.51,185,129,69.7,11,11,15,9,24.3,,,,,,2010
ITA-Serie A,2010,Bari,Daniele Padelli,ITA,GK,24,1985,2,2,180,2.0,3,1.50,11,8,72.7,0,1,1,0,0.0,,,,,,2011
ITA-Serie A,2010,Bari,Jean-François Gillet,BEL,GK,31,1979,36,36,3240,36.0,53,1.47,182,129,70.9,5,8,23,6,16.7,,,,,,2011
ITA-Serie A,2010,Bologna,Cristiano Lupatelli,ITA,GK,32,1978,1,0,15,0.2,0,0.00,1,1,100.0,0,0,0,0,,,,,,,2011
ITA-Serie A,2010,Bologna,Emiliano Viviano,ITA,GK,24,1985,38,38,3405,37.8,52,1.37,188,136,72.3,11,12,15,12,31.6,,,,,,2011
ITA-Serie A,2010,Brescia,Matteo Sereni,ITA,GK,35,1975,15,15,1350,15.0,22,1.47,88,66,75.0,4,1,10,3,20.0,,,,,,2011
ITA-Serie A,2010,Brescia,Michele Arcari,ITA,GK,32,1978,22,22,1980,22.0,29,1.32,102,73,71.6,3,10,9,4,18.2,,,,,,2011
ITA-Serie A,2010,Brescia,Nicola Leali,ITA,GK,17,1993,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,,,,,,2011
ITA-Serie A,2010,Cagliari,Ivan Pelizzoli,ITA,GK,29,1980,1,0,37,0.4,0,0.00,1,1,100.0,0,1,0,0,,,,,,,2011
ITA-Serie A,2010,Cagliari,Michael Agazzi,ITA,GK,26,1984,38,38,3383,37.6,51,1.36,180,129,71.7,12,8,17,9,23.7,,,,,,2011
ITA-Serie A,2010,Catania,Andrea Campagnolo,ITA,GK,32,1978,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,,,,,,2011
ITA-Serie A,2010,Catania,Mariano Andújar,ARG,GK,27,1983,37,37,3330,37.0,49,1.32,157,108,68.8,12,10,15,9,24.3,,,,,,2011
ITA-Serie A,2010,Cesena,Alex Calderoni,ITA,GK,34,1976,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,,,,,,2011
ITA-Serie A,2010,Cesena,Francesco Antonioli,ITA,GK,40,1969,37,37,3330,37.0,47,1.27,182,135,74.2,11,10,16,11,29.7,,,,,,2011
ITA-Serie A,2010,Chievo,Lorenzo Squizzi,ITA,GK,36,1974,2,1,110,1.2,1,0.82,4,3,75.0,1,1,0,0,0.0,,,,,,2011
ITA-Serie A,2010,Chievo,Stefano Sorrentino,ITA,GK,31,1979,37,37,3310,36.8,39,1.06,184,145,78.8,11,12,14,12,32.4,,,,,,2011
ITA-Serie A,2010,Fiorentina,Artur Boruc,POL,GK,30,1980,26,26,2340,26.0,29,1.12,120,91,75.8,10,10,7,9,34.6,,,,,,2011
ITA-Serie A,2010,Fiorentina,Sébastien Frey,FRA,GK,30,1980,11,11,990,11.0,13,1.18,49,36,73.5,2,5,4,2,18.2,,,,,,2011
ITA-Serie A,2010,Fiorentina,Vlada Avramov,SRB,GK,31,1979,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,,,,,,2011
ITA-Serie A,2010,Genoa,Eduardo Carvalho,POR,GK,27,1982,37,37,3330,37.0,45,1.22,165,120,72.7,13,9,15,12,32.4,,,,,,2011
ITA-Serie A,2010,Genoa,Mattia Perin,ITA,GK,17,1992,1,1,90,1.0,2,2.00,10,8,80.0,1,0,0,0,0.0,,,,,,2011
ITA-Serie A,2010,Inter,Júlio César,BRA,GK,30,1979,25,25,2156,24.0,21,0.88,108,87,80.6,14,5,4,9,36.0,,,,,,2011
ITA-Serie A,2010,Inter,Luca Castellazzi,ITA,GK,35,1975,15,13,1264,14.0,21,1.50,69,48,69.6,9,2,4,1,7.7,,,,,,2011
ITA-Serie A,2010,Juventus,Gianluigi Buffon,ITA,GK,32,1978,16,16,1362,15.1,17,1.12,57,40,70.2,5,6,4,4,25.0,,,,,,2011
ITA-Serie A,2010,Juventus,Marco Storari,ITA,GK,33,1977,23,22,2058,22.9,30,1.31,101,71,70.3,10,7,6,6,27.3,,,,,,2011
ITA-Serie A,2010,Lazio,Fernando Muslera,URU,GK,24,1986,36,36,3240,36.0,38,1.06,162,124,76.5,19,6,11,13,36.1,,,,,,2011
ITA-Serie A,2010,Lazio,Tommaso Berni,ITA,GK,27,1983,2,2,180,2.0,1,0.50,4,3,75.0,1,0,1,1,50.0,,,,,,2011
ITA-Serie A,2010,Lecce,Antonio Rosati,ITA,GK,27,1983,38,37,3367,37.4,64,1.71,188,124,66.0,11,8,18,6,16.2,,,,,,2011
ITA-Serie A,2010,Lecce,Massimiliano Benassi,ITA,GK,28,1981,1,1,51,0.6,2,3.53,7,5,71.4,0,0,1,0,0.0,,,,,,2011
ITA-Serie A,2010,Milan,Christian Abbiati,ITA,GK,33,1977,35,35,3078,34.2,19,0.56,121,102,84.3,23,7,4,18,51.4,,,,,,2011
ITA-Serie A,2010,Milan,Flavio Roma,ITA,GK,36,1974,1,0,6,0.1,0,0.00,0,0,,0,0,0,0,,,,,,,2011
ITA-Serie A,2010,Milan,Marco Amelia,ITA,GK,28,1982,4,3,336,3.7,5,1.34,14,9,64.3,1,3,0,2,66.7,,,,,,2011
ITA-Serie A,2010,Napoli,Morgan De Sanctis,ITA,GK,33,1977,38,38,3420,38.0,39,1.03,138,99,71.7,21,7,10,17,44.7,,,,,,2011
ITA-Serie A,2010,Palermo,Francesco Benussi,ITA,GK,28,1981,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,,,,,,2011
ITA-Serie A,2010,Palermo,Salvatore Sirigu,ITA,GK,23,1987,37,37,3330,37.0,62,1.68,196,134,68.4,16,5,16,6,16.2,,,,,,2011
ITA-Serie A,2010,Parma,Antonio Mirante,ITA,GK,27,1983,36,36,3178,35.3,45,1.27,171,126,73.7,10,11,14,12,33.3,,,,,,2011
ITA-Serie A,2010,Parma,Nicola Pavarini,ITA,GK,36,1974,3,2,242,2.7,2,0.74,10,8,80.0,1,2,0,1,50.0,,,,,,2011
ITA-Serie A,2010,Roma,Bogdan Lobonț,ROU,GK,32,1978,6,6,495,5.5,4,0.73,17,13,76.5,3,1,1,3,50.0,,,,,,2011
ITA-Serie A,2010,Roma,Doni,BRA,GK,30,1979,16,14,1339,14.9,17,1.14,54,37,68.5,9,3,4,7,50.0,,,,,,2011
ITA-Serie A,2010,Roma,Júlio Sérgio,BRA,GK,31,1978,18,18,1586,17.6,31,1.76,97,66,68.0,6,5,6,4,22.2,,,,,,2011
ITA-Serie A,2010,Sampdoria,Angelo da Costa Júnior,BRA,GK,26,1983,4,3,283,3.1,8,2.54,18,10,55.6,0,1,3,0,0.0,,,,,,2011
ITA-Serie A,2010,Sampdoria,Gianluca Curci,ITA,GK,25,1985,35,35,3137,34.9,41,1.18,151,110,72.8,8,11,15,11,31.4,,,,,,2011
ITA-Serie A,2010,Udinese,Emanuele Belardi,ITA,GK,32,1977,3,3,270,3.0,3,1.00,12,9,75.0,1,1,1,1,33.3,,,,,,2011
ITA-Serie A,2010,Udinese,Samir Handanović,SVN,GK,26,1984,35,35,3150,35.0,40,1.14,141,101,71.6,19,5,11,14,40.0,,,,,,2011
ITA-Serie A,2011,Atalanta,Andrea Consigli,ITA,GK,24,1987,35,35,3030,33.7,36,1.07,142,106,74.6,12,12,9,12,34.3,,,,,,2012
ITA-Serie A,2011,Atalanta,Ciro Polito,ITA,GK,32,1979,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,,,,,,2012
ITA-Serie A,2011,Atalanta,Giorgio Frezzolini,ITA,GK,35,1976,4,2,299,3.3,7,2.11,22,15,68.2,1,0,3,0,0.0,,,,,,2012
ITA-Serie A,2011,Bologna,Federico Agliardi,ITA,GK,28,1983,10,9,831,9.2,11,1.19,47,36,76.6,4,2,3,3,33.3,,,,,,2012
ITA-Serie A,2011,Bologna,Jean-François Gillet,BEL,GK,32,1979,29,29,2589,28.8,32,1.11,125,93,74.4,9,10,10,10,34.5,,,,,,2012
ITA-Serie A,2011,Cagliari,Michael Agazzi,ITA,GK,27,1984,36,36,3197,35.5,46,1.29,162,116,71.6,8,12,15,12,33.3,,,,,,2012
ITA-Serie A,2011,Cagliari,Vlada Avramov,SRB,GK,32,1979,3,2,223,2.5,0,0.00,10,10,100.0,2,1,0,3,150.0,,,,,,2012
ITA-Serie A,2011,Catania,Andrea Campagnolo,ITA,GK,33,1978,4,4,334,3.7,6,1.62,11,5,45.5,0,1,2,0,0.0,,,,,,2012
ITA-Serie A,2011,Catania,Juan Pablo Carrizo,ARG,GK,27,1984,14,14,1259,14.0,16,1.14,70,54,77.1,4,6,4,4,28.6,,,,,,2012
ITA-Serie A,2011,Catania,Mariano Andújar,ARG,GK,28,1983,16,16,1440,16.0,23,1.44,79,56,70.9,5,7,4,4,25.0,,,,,,2012
