league,season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
ENG-Premier League,2017,Chelsea,Cesc Fàbregas,ESP,MF,30,1987,25.6,168,6.56,110,49,2,5,0,2,13,0.51,8,5,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Charly Musonda Jr.,BEL,FW,20,1996,0.4,1,2.43,1,0,0,0,0,0,1,2.43,1,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,César Azpilicueta,ESP,DF,27,1989,37.0,61,1.65,58,0,1,1,0,1,8,0.22,8,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Danny Drinkwater,ENG,MF,27,1990,5.9,13,2.22,11,0,1,1,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,David Luiz,BRA,"DF,MF",30,1987,9.3,7,0.75,6,0,0,0,1,0,3,0.32,2,0,0,0,1,0,2018
ENG-Premier League,2017,Chelsea,Davide Zappacosta,ITA,"DF,MF",25,1992,12.2,25,2.05,21,1,2,1,0,0,4,0.33,3,0,1,0,0,0,2018
ENG-Premier League,2017,Chelsea,Eden Hazard,BEL,"FW,MF",26,1991,26.9,205,7.61,143,8,31,6,17,0,19,0.71,11,0,5,1,2,0,2018
ENG-Premier League,2017,Chelsea,Emerson Palmieri,ITA,DF,22,1994,3.1,2,0.64,1,0,0,0,0,1,1,0.32,1,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Ethan Ampadu,WAL,DF,16,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Gary Cahill,ENG,DF,31,1985,23.2,7,0.30,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Jeremie Boga,CIV,MF,20,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Marcos Alonso,ESP,"DF,MF",26,1990,31.7,81,2.55,64,5,2,6,3,1,7,0.22,7,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Michy Batshuayi,BEL,FW,23,1993,4.0,9,2.25,7,0,1,1,0,0,2,0.50,2,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,N'Golo Kanté,FRA,MF,26,1991,33.3,95,2.86,86,0,4,3,0,2,8,0.24,7,0,0,1,0,0,2018
ENG-Premier League,2017,Chelsea,Olivier Giroud,FRA,FW,30,1986,6.8,21,3.08,19,0,0,2,0,0,1,0.15,1,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Pedro,ESP,"MF,FW",30,1987,16.9,65,3.84,52,1,4,5,2,1,2,0.12,2,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Ross Barkley,ENG,MF,23,1993,1.4,4,2.79,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Thibaut Courtois,BEL,GK,25,1992,35.0,4,0.11,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Tiemoué Bakayoko,FRA,MF,22,1994,23.6,45,1.91,37,0,2,3,1,2,6,0.25,6,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Victor Moses,NGA,"DF,MF",26,1990,23.4,49,2.09,35,0,7,2,5,0,7,0.30,4,0,0,0,3,0,2018
ENG-Premier League,2017,Chelsea,Willian,BRA,"MF,FW",28,1988,21.0,132,6.29,85,16,17,4,9,1,14,0.67,8,2,2,1,1,0,2018
ENG-Premier League,2017,Chelsea,Willy Caballero,ARG,GK,35,1981,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Álvaro Morata,ESP,FW,24,1992,22.9,83,3.63,59,2,6,8,8,0,8,0.35,7,0,0,0,1,0,2018
ENG-Premier League,2017,Crystal Palace,Aaron Wan-Bissaka,ENG,DF,19,1997,7.0,8,1.15,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Alexander Sørloth,NOR,FW,21,1995,4.0,14,3.50,8,0,3,2,0,1,1,0.25,1,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Andros Townsend,ENG,"FW,MF",26,1991,34.7,138,3.98,80,20,16,7,10,5,11,0.32,8,1,0,0,2,0,2018
ENG-Premier League,2017,Crystal Palace,Bakary Sako,MLI,"FW,MF",29,1988,5.3,18,3.39,11,0,2,4,1,0,3,0.56,1,0,0,2,0,0,2018
ENG-Premier League,2017,Crystal Palace,Christian Benteke,BEL,FW,26,1990,24.9,68,2.73,43,0,5,12,8,0,13,0.52,8,0,1,1,3,0,2018
ENG-Premier League,2017,Crystal Palace,Damien Delaney,IRL,DF,36,1981,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Freddie Ladapo,ENG,FW,24,1993,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,James McArthur,SCO,MF,29,1987,27.0,53,1.96,47,0,1,4,1,0,2,0.07,1,0,0,1,0,0,2018
ENG-Premier League,2017,Crystal Palace,James Tomkins,ENG,DF,28,1989,26.5,7,0.26,4,0,0,3,0,0,1,0.04,0,0,0,1,0,0,2018
ENG-Premier League,2017,Crystal Palace,Jason Puncheon,ENG,MF,31,1986,7.2,18,2.84,11,3,2,1,1,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Jaïro Riedewald,NED,"MF,DF",20,1996,4.9,3,0.61,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Jeffrey Schlupp,GHA,"DF,MF",24,1992,19.4,35,1.81,25,4,4,1,1,0,4,0.21,2,1,0,1,0,0,2018
ENG-Premier League,2017,Crystal Palace,Joel Ward,ENG,DF,27,1989,17.9,21,1.17,15,1,1,1,3,0,1,0.06,1,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Julián Speroni,ARG,GK,38,1979,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Lee Chung-yong,KOR,"FW,MF",29,1988,1.5,5,3.33,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Levi Lumeka,ENG,FW,18,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Luka Milivojević,SRB,MF,26,1991,34.2,58,1.69,41,8,0,3,3,3,5,0.15,4,0,0,1,0,0,2018
ENG-Premier League,2017,Crystal Palace,Mamadou Sakho,FRA,DF,27,1990,17.8,5,0.28,5,0,0,0,0,0,3,0.17,3,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Martin Kelly,ENG,DF,27,1990,13.3,4,0.30,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Pape Souaré,SEN,DF,27,1990,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Patrick van Aanholt,NED,DF,26,1990,24.3,46,1.90,24,12,6,2,1,1,4,0.16,2,0,2,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Ruben Loftus-Cheek,ENG,MF,21,1996,20.8,73,3.51,48,0,12,3,8,2,8,0.38,5,0,1,1,1,0,2018
ENG-Premier League,2017,Crystal Palace,Scott Dann,ENG,DF,30,1987,15.9,13,0.82,11,0,0,2,0,0,1,0.06,1,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Sullay Kaikai,SLE,MF,21,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Timothy Fosu-Mensah,NED,DF,19,1998,17.7,19,1.07,17,0,0,1,1,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Wayne Hennessey,WAL,GK,30,1987,27.0,5,0.19,4,1,0,0,0,0,1,0.04,1,0,0,0,0,0,2018
ENG-Premier League,2017,Crystal Palace,Wilfried Zaha,CIV,"FW,MF",24,1992,28.3,139,4.91,79,0,35,6,17,2,14,0.49,9,0,3,0,2,0,2018
ENG-Premier League,2017,Crystal Palace,Yohan Cabaye,FRA,MF,31,1986,26.4,84,3.18,37,34,2,3,5,3,6,0.23,3,1,0,1,1,0,2018
ENG-Premier League,2017,Everton,Aaron Lennon,ENG,"FW,MF",30,1987,8.8,14,1.59,9,0,1,2,2,0,3,0.34,1,0,0,1,1,0,2018
