league,season,team,players_used,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,url,nextSeason
GER-Bundesliga,2022,Bayern Munich,28,34.0,623,387,263,258,102,287,538,53.3,251,381,77,304,287,910,477,19,/en/squads/054efa67/Bayern-Munich-Stats,2023
GER-Bundesliga,2022,Bochum,26,34.0,626,386,301,247,78,310,635,48.8,325,402,118,284,337,963,776,13,/en/squads/b42c6323/Bochum-Stats,2023
GER-Bundesliga,2022,Dortmund,30,34.0,580,334,246,241,93,287,551,52.1,264,382,95,287,298,878,491,9,/en/squads/add600ae/Dortmund-Stats,2023
GER-Bundesliga,2022,Eint Frankfurt,28,34.0,562,357,244,248,70,265,585,45.3,320,415,88,327,284,846,687,5,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats,2023
GER-Bundesliga,2022,Freiburg,27,34.0,498,289,223,211,64,207,450,46.0,243,375,106,269,325,823,612,10,/en/squads/a486e511/Freiburg-Stats,2023
GER-Bundesliga,2022,Hertha BSC,32,34.0,576,344,307,215,54,251,521,48.2,270,416,132,284,366,942,797,8,/en/squads/2818f8bc/Hertha-BSC-Stats,2023
GER-Bundesliga,2022,Hoffenheim,31,34.0,543,323,254,231,58,236,474,49.8,238,428,119,309,285,828,665,8,/en/squads/033ea6b8/Hoffenheim-Stats,2023
GER-Bundesliga,2022,Köln,27,34.0,615,370,287,263,65,310,666,46.5,356,423,99,324,372,987,716,5,/en/squads/bc357bf7/Koln-Stats,2023
GER-Bundesliga,2022,Leverkusen,27,34.0,494,280,242,206,46,236,421,56.1,185,358,99,259,294,788,599,12,/en/squads/c7a9f859/Bayer-Leverkusen-Stats,2023
GER-Bundesliga,2022,M'Gladbach,27,34.0,497,275,274,171,52,267,536,49.8,269,405,104,301,267,764,728,7,/en/squads/32f3ee20/Monchengladbach-Stats,2023
